year,month,prcp_mm,tave_degC
1925,1,131.36,-2.25
1925,2,45.57,3.54
1925,3,33.87,5.19
1925,4,70.82,10.57
1925,5,47.22,12.33
1925,6,53.75,20.6
1925,7,65.67,21
1925,8,55.07,19.09
1925,9,57.03,19.72
1925,10,110.19,8.42
1925,11,81.83,2.77
1925,12,69.94,-0.51
1926,1,95.03,-2.43
1926,2,68.37,0.9
1926,3,64.7,0.95
1926,4,53.97,7.04
1926,5,77.68,14.72
1926,6,40.38,17.41
1926,7,138.19,21.15
1926,8,195.62,20.95
1926,9,78.1,17.63
1926,10,129.67,10.98
1926,11,147.43,2.38
1926,12,125.29,-0.92
1927,1,44.78,-1.05
1927,2,102.25,2.73
1927,3,35.81,5.05
1927,4,182.15,7.79
1927,5,41.49,14.66
1927,6,70.32,16.8
1927,7,138.02,20.09
1927,8,146.84,17.18
1927,9,58.03,16.99
1927,10,186.72,11.69
1927,11,110.28,6.83
1927,12,108.86,0.17
1928,1,60.86,-0.57
1928,2,53.06,-0.14
1928,3,66.47,3.63
1928,4,119.76,7.32
1928,5,50.03,13.32
1928,6,121.07,17.09
1928,7,95.73,20.77
1928,8,297.76,20.26
1928,9,149.6,13.81
1928,10,33.28,11.11
1928,11,39.47,5.15
1928,12,48.27,-0.15
1929,1,88.96,-2.03
1929,2,87.33,-2.24
1929,3,119.86,6.04
1929,4,139.83,11.14
1929,5,110.95,14.13
1929,6,134.45,17.7
1929,7,109.34,19.84
1929,8,75.09,18.3
1929,9,65.24,16.62
1929,10,198.2,9.71
1929,11,98.64,5.25
1929,12,58.44,1.01
1930,1,67.43,-0.51
1930,2,28,2.42
1930,3,62.56,2.85
1930,4,53.89,8.98
1930,5,32.18,15.95
1930,6,71.52,18.4
1930,7,13.82,22.31
1930,8,41.95,19.77
1930,9,32.56,19.65
1930,10,20.75,9.33
1930,11,46.55,3.29
1930,12,86.21,-2.41
